,high,high_abnormal,index_0_price,index_0_scores,index_1_price,index_1_scores,index_2_price,index_2_scores,index_3_price,index_3_scores,low,low_abnormal
0,468,,466,25.811965811965813,468,25.641025641025642,400,31.45299145299145,300,40.0,300,
1,468,,466,25.897435897435898,468,25.726495726495727,400,31.538461538461537,301,40.0,301,
2,468,,466,25.982905982905983,468,25.811965811965813,400,31.62393162393162,302,40.0,302,
3,468,,466,26.068376068376068,468,25.897435897435898,400,31.709401709401707,303,40.0,303,
4,468,,466,26.153846153846153,468,25.982905982905983,400,31.794871794871792,304,40.0,304,
5,468,,466,26.23931623931624,468,26.068376068376068,400,31.88034188034188,305,40.0,305,
6,468,,466,26.324786324786324,468,26.153846153846153,400,31.965811965811966,306,40.0,306,
7,468,,466,26.41025641025641,468,26.23931623931624,400,32.05128205128205,307,40.0,307,
8,468,,466,26.495726495726494,468,26.324786324786324,400,32.136752136752136,308,40.0,308,
9,468,,466,26.58119658119658,468,26.41025641025641,400,32.22222222222222,309,40.0,309,
10,468,,466,26.666666666666664,468,26.495726495726494,400,32.30769230769231,310,40.0,310,
11,468,,466,26.75213675213675,468,26.58119658119658,400,32.39316239316239,311,40.0,311,
12,468,,466,26.837606837606835,468,26.666666666666664,400,32.47863247863248,312,40.0,312,
13,468,,466,26.923076923076927,468,26.75213675213675,400,32.56410256410256,313,40.0,313,
14,468,,466,27.008547008547012,468,26.837606837606835,400,32.64957264957265,314,40.0,314,
15,468,,466,27.094017094017097,468,26.923076923076927,400,32.73504273504273,315,40.0,315,
16,468,,466,27.179487179487182,468,27.008547008547012,400,32.82051282051282,316,40.0,316,
17,468,,466,27.264957264957268,468,27.094017094017097,400,32.9059829059829,317,40.0,317,
18,468,,466,27.350427350427353,468,27.179487179487182,400,32.99145299145299,318,40.0,318,
19,468,,466,27.435897435897438,468,27.264957264957268,400,33.07692307692307,319,40.0,319,
20,468,,466,27.521367521367523,468,27.350427350427353,400,33.162393162393165,320,40.0,320,
21,468,,466,27.60683760683761,468,27.435897435897438,400,33.24786324786325,321,40.0,321,
22,468,,466,27.692307692307693,468,27.521367521367523,400,33.333333333333336,322,40.0,322,
23,468,,466,27.77777777777778,468,27.60683760683761,400,33.41880341880342,323,40.0,323,
24,468,,466,27.863247863247864,468,27.692307692307693,400,33.504273504273506,324,40.0,324,
25,468,,466,27.94871794871795,468,27.77777777777778,400,33.58974358974359,325,40.0,325,
26,468,,466,28.034188034188034,468,27.863247863247864,400,33.675213675213676,326,40.0,326,
27,468,,466,28.11965811965812,468,27.94871794871795,400,33.76068376068376,327,40.0,327,
28,468,,466,28.205128205128208,468,28.034188034188034,400,33.84615384615385,328,40.0,328,
29,468,,466,28.290598290598293,468,28.11965811965812,400,33.93162393162393,329,40.0,329,
30,468,,466,28.37606837606838,468,28.205128205128208,400,34.01709401709402,330,40.0,330,
31,468,,466,28.461538461538463,468,28.290598290598293,400,34.1025641025641,331,40.0,331,
32,468,,466,28.54700854700855,468,28.37606837606838,400,34.18803418803419,332,40.0,332,
33,468,,466,28.632478632478634,468,28.461538461538463,400,34.27350427350427,333,40.0,333,
34,468,,466,28.71794871794872,468,28.54700854700855,400,34.35897435897436,334,40.0,334,
35,468,,466,28.803418803418804,468,28.632478632478634,400,34.44444444444444,335,40.0,335,
36,468,,466,28.88888888888889,468,28.71794871794872,400,34.529914529914535,336,40.0,336,
37,468,,466,28.974358974358974,468,28.803418803418804,400,34.61538461538461,337,40.0,337,
38,468,,466,29.05982905982906,468,28.88888888888889,400,34.700854700854705,338,40.0,338,
39,468,,466,29.145299145299145,468,28.974358974358974,400,34.78632478632478,339,40.0,339,
40,468,,466,29.23076923076923,468,29.05982905982906,400,34.871794871794876,340,40.0,340,
41,468,,466,29.316239316239315,468,29.145299145299145,400,34.957264957264954,341,40.0,341,
42,468,,466,29.401709401709404,468,29.23076923076923,400,35.042735042735046,342,40.0,342,
43,468,,466,29.48717948717949,468,29.316239316239315,400,35.128205128205124,343,40.0,343,
44,468,,466,29.572649572649574,468,29.401709401709404,400,35.21367521367522,344,40.0,344,
45,468,,466,29.65811965811966,468,29.48717948717949,400,35.299145299145295,345,40.0,345,
46,468,,466,29.743589743589745,468,29.572649572649574,400,35.38461538461539,346,40.0,346,
47,468,,466,29.82905982905983,468,29.65811965811966,400,35.470085470085465,347,40.0,347,
48,468,,466,29.914529914529915,468,29.743589743589745,400,35.55555555555556,348,40.0,348,
49,468,,466,30.0,468,29.82905982905983,400,35.64102564102564,349,40.0,349,
50,468,,466,30.085470085470085,468,29.914529914529915,400,35.72649572649573,350,40.0,350,
51,468,,466,30.17094017094017,468,30.0,400,35.81196581196581,351,40.0,351,
52,468,,466,30.256410256410255,468,30.085470085470085,400,35.8974358974359,352,40.0,352,
53,468,,466,30.34188034188034,468,30.17094017094017,400,35.98290598290598,353,40.0,353,
54,468,,466,30.427350427350426,468,30.256410256410255,400,36.06837606837607,354,40.0,354,
55,468,,466,30.51282051282051,468,30.34188034188034,400,36.15384615384615,355,40.0,355,
56,468,,466,30.598290598290596,468,30.427350427350426,400,36.23931623931624,356,40.0,356,
57,468,,466,30.683760683760685,468,30.51282051282051,400,36.324786324786324,357,40.0,357,
58,468,,466,30.76923076923077,468,30.598290598290596,400,36.41025641025641,358,40.0,358,
59,468,,466,30.854700854700855,468,30.683760683760685,400,36.495726495726494,359,40.0,359,
60,468,,466,30.94017094017094,468,30.76923076923077,400,36.58119658119658,360,40.0,360,
61,468,,466,31.025641025641026,468,30.854700854700855,400,36.666666666666664,361,40.0,361,
